name,url,summary
"Advanced Mobility: Smart Vehicles and Smart
                          Infrastructure",https://minoren-han.nl/en/633-advanced-mobility-smart-vehicles-and-smart-infrastructure,"**Program Summary:**  
This 30-credit minor focuses on advancing mobility through smart vehicles and infrastructure. It equips students with expertise in designing and implementing high-tech systems for efficient, safe, and sustainable mobility. Key domains include smart vehicle technology (ADAS, V2x), smart infrastructure (data-driven traffic management, 5G/C-ITS), and project management, alongside legal, political, and ethical considerations. Skills developed include research, design, communication, and multidisciplinary teamwork, preparing students to address real-world challenges in the automotive sector."
"Adventure Learning – zweisprachiger Minor (D/NL) –
                          tweetalige minor (D/NL)",https://minoren-han.nl/en/541-adventure-learning-zweisprachiger-minor-d-nl-tweetalige-minor-d-nl,"**Erlebnispädagogik Minor Summary**

The Erlebnispädagogik minor is a 12-month block course designed for students to gain comprehensive knowledge and practical skills in the field of experiential learning. The program is structured around methodological-didaktische Gründe, focusing on theoretical concepts, safety standards, and group dynamics. Key components include:

- **Program Duration:** September 2025 to January 2026
- **Workload:** 840 hours (560 taught sessions + 280 self-directed)
- **Teaching Methods:** Guided training, lectures, self-experience, independent work, expert presentations, group work, presentations, written assignments, literature work, e-learning, reflection, projects, and self-directed learning.

**Key Components:**
1. **Practical Skills:** Includes activities like climbing (Kletterschein) and a solo project.
2. **Applied Project:** Students implement ""Angewandte Erlebnispädagogik"" through an applied project with documentation.
3. **Examination:** Assessed via individual presentations, first aid training, solo project presentation, and the applied project.

**Assessment:**
- Individual presentation and written work on a current topic in experiential learning.
- First aid training assessment (Kletterschein Toprope).
- Solo project evaluation through presentation and commentary.
- Comprehensive evaluation of the applied project, including documentation.

**Textbooks:** Essential readings include Michl's ""Erlebnispädagogik,"" Kolb's ""Experiential Learning,"" Csikszentmihalyi's ""Flow,"" and others.

**Admission:**
- **HAN Students:** Apply via Alluris.
- **Others:** Use Kiesopmaat to create an account and apply. Existing accounts can be used directly.

This program equips students with new competencies, beneficial for employers, offering practical, real-world applications in their field."
Adventure Learning op basis van ervaringsleren,https://minoren-han.nl/en/466-adventure-learning-op-basis-van-ervaringsleren,"The Adventure Learning minor at HAN is a comprehensive program designed to deepen students' understanding of experiential learning through a blend of theory and practice. Here's an organized summary of the key aspects:

### Overview
- **Program Type:** Block-based minor focused on experiential learning.
- **Target Students:** Primarily Social Work, Education, and Personnel Development students, with potential for others interested in related fields.

### Objectives
The program aims to:
- Enhance professional skills such as team development, social competence, and self-reliance.
- Provide practical experience through group activities, projects, and real-world applications.

### Program Structure
- **Duration:** Block-based structure with varying lesson days per week.
- **Prerequisites:** Basic life support (EHBO) certificate and good physical/mental health. Students must declare any chronic conditions to the institution.
- **Financial Contribution:** Approximately 500-600 euros for various costs, including literature, travel, and activities.

### Academic Requirements
- **Entry Criteria:** 60 study points in propedeuse year and 45 in main phase for HAN students; international students must meet language proficiency requirements (Dutch or translated materials available).
- **Certification Requirements:** VOG declaration within three months of enrollment for those seeking certification as ""Erlebnispädagoge.""

### Content and Approach
- **Theoretical Component:** Covers key theories including experiential learning, flow theory, and Kolb's learning cycle through assigned readings and lectures.
- **Practical Component:** Includes group activities, projects, and a 3-day individual project applying theoretical concepts to real-world challenges. Students engage in Zelfgestuurd Leren (self-directed learning) through work placements or internships.

### Evaluation
- **Examination Methods:** Combination of presentations, written assignments, an integrative project, and an end interview.
- **Assessment:** Focus on both theoretical understanding and practical application.

### Outcome
Upon completion, students are equipped with advanced skills in facilitating learning experiences across various sectors, enhancing their professional profiles.

This minor offers a unique opportunity to integrate theory with practice, preparing students for diverse career paths in education, social work, and organizational development."
Advies bedrijfsovername,https://minoren-han.nl/en/501-advies-bedrijfsovername,"The minor ""Advies bedrijfsovername"" focuses on developing expertise in evaluating businesses, structuring financings, and advising on mergers and acquisitions. Students gain skills in financial analysis, legal considerations, and practical negotiation, applying this knowledge to real-world projects with MKB companies. The program is designed for students with a background in finance or related fields, aiming to prepare them for roles as financial advisors or business owners."
Adviseren en Ondernemen met Impact,https://minoren-han.nl/en/664-adviseren-en-ondernemen-met-impact,"**Program Summary: ""Adviseren en Ondernemen met Impact""**

This program is designed to equip students with essential skills in advising and entrepreneurship, fostering innovation and impactful solutions. It emphasizes collaborative teamwork, effective communication, project management, networking, and critical thinking, preparing students for real-world challenges through structured workshops and assessments. The curriculum aligns with Design Based Education phases, ensuring a comprehensive approach to problem-solving and value creation."
Analytical Chemistry,https://minoren-han.nl/en/545-analytical-chemistry,"This program focuses on developing and validating analytical methods, with an emphasis on techniques like GC, HPLC, AAS, gel electrophoresis, and LC-MS. It aims to enhance knowledge application, research planning, and collaboration through literature studies, report writing, presentations, and seminars."
Analytische Chemie,https://minoren-han.nl/en/546-analytische-chemie,"The Analytical Chemistry minor focuses on conducting chemical analyses and developing methodologies, utilizing spectroscopy, chromatography, and chemometry, with an emphasis on quality assurance, method development, and professional skills in project management and data analysis."
Applied Data Science,https://minoren-han.nl/en/572-applied-data-science,"**Applied Data Science** focuses on developing skills in analyzing and managing large datasets (Big Data) using software tools. Students learn to apply data science strategies, algorithms, and database management, creating interfaces for data visualization and presenting results through projects.

Key technologies include programming languages such as Python and R, big data tools like Hadoop and Spark, machine learning libraries, and project management methodologies like Scrum, all applied to biological data analysis."
Autisme: begeleiden in de levensloop,https://minoren-han.nl/en/464-autisme-begeleiden-in-de-levensloop,"The minor ""Autisme: begeleiden in de levensloop"" at HAN prepares students to support individuals with autism across various life stages by developing communication, structuring, and understanding of signal behavior. It combines theoretical knowledge with practical applications through group discussions, case studies, and real-world placements, focusing on building a patient-centered approach."
Begeleiden in de school,https://minoren-han.nl/en/514-begeleiden-in-de-school,"This minor focuses on developing leadership and coaching skills for educators, emphasizing personal growth, group dynamics, and collaboration with partners like parents and other stakeholders. The program combines practical, dialogical learning with shared decision-making, enabling students to shape their own learning environment and present a final product."
