,name,url
0,"Advanced Mobility: Smart Vehicles and Smart
                          Infrastructure",https://minoren-han.nl/en/633-advanced-mobility-smart-vehicles-and-smart-infrastructure
1,"Adventure Learning – zweisprachiger Minor (D/NL) –
                          tweetalige minor (D/NL)",https://minoren-han.nl/en/541-adventure-learning-zweisprachiger-minor-d-nl-tweetalige-minor-d-nl
2,Adventure Learning op basis van ervaringsleren,https://minoren-han.nl/en/466-adventure-learning-op-basis-van-ervaringsleren
3,Advies bedrijfsovername,https://minoren-han.nl/en/501-advies-bedrijfsovername
4,Adviseren en Ondernemen met Impact,https://minoren-han.nl/en/664-adviseren-en-ondernemen-met-impact
5,Analytical Chemistry,https://minoren-han.nl/en/545-analytical-chemistry
6,Analytische Chemie,https://minoren-han.nl/en/546-analytische-chemie
7,Applied Data Science,https://minoren-han.nl/en/572-applied-data-science
8,Autisme: begeleiden in de levensloop,https://minoren-han.nl/en/464-autisme-begeleiden-in-de-levensloop
9,Begeleiden in de school,https://minoren-han.nl/en/514-begeleiden-in-de-school
10,"Betekenisvol ouder worden in een dynamisch
                          zorglandschap (deeltijd)",https://minoren-han.nl/en/621-betekenisvol-ouder-worden-in-een-dynamisch-zorglandschap-deeltijd
11,"Betekenisvol ouder worden in een dynamisch
                          zorglandschap (voltijd)",https://minoren-han.nl/en/622-betekenisvol-ouder-worden-in-een-dynamisch-zorglandschap-voltijd
12,Bewegingsagogiek,https://minoren-han.nl/en/416-bewegingsagogiek
13,Bio-Nanotechnologie,https://minoren-han.nl/en/524-bio-nanotechnologie-2
14,Bio-Nanotechnology,https://minoren-han.nl/en/525-bio-nanotechnology
15,Biobased Innovations,https://minoren-han.nl/en/469-biobased-innovations
16,"Biomedical Research: Cancer and Developmental
                          Biology",https://minoren-han.nl/en/623-biomedical-research-cancer-and-developmental-biology
17,Biomedical Research: Neuroimmunology,https://minoren-han.nl/en/613-biomedical-research-neuroimmunology
18,Biotechnology,https://minoren-han.nl/en/570-biotechnology
19,Bouwfysica in de Praktijk,https://minoren-han.nl/en/588-bouwfysica-in-de-praktijk
20,Brand Activation,https://minoren-han.nl/en/654-brand-activation
21,"Circulaire Economie, duurzaam ondernemen
                          (deeltijd)",https://minoren-han.nl/en/499-circulaire-economie-duurzaam-ondernemen-deeltijd
22,"Circulaire Economie, duurzaam ondernemen (voltijd)",https://minoren-han.nl/en/500-circulaire-economie-duurzaam-ondernemen-voltijd
23,Co-Create Urban Transition - NL (voltijd),https://minoren-han.nl/en/509-co-create-urban-transition-nl-voltijd
24,Coachen van medewerkers,https://minoren-han.nl/en/438-coachen-van-medewerkers
25,Complexe Zorg,https://minoren-han.nl/en/612-complexe-zorg
26,Contentmarketing met AI,https://minoren-han.nl/en/616-contentmarketing-met-ai
27,"Create a High-end Video Game voor
                          Informatica-studenten (voltijd)",https://minoren-han.nl/en/647-create-a-high-end-video-game-voor-informatica-studenten-voltijd
28,"Create a High-end Video Game voor Media Designers
                          (voltijd)",https://minoren-han.nl/en/648-create-a-high-end-video-game-voor-media-designers-voltijd
29,Creatief begeleiden en coachen (deeltijd),https://minoren-han.nl/en/550-creatief-begeleiden-en-coachen-deeltijd
30,Creatief begeleiden en coachen (voltijd),https://minoren-han.nl/en/551-creatief-begeleiden-en-coachen-voltijd
31,Creatief construeren (voltijd),https://minoren-han.nl/en/234-creatief-construeren-voltijd
32,Creativiteitsontwikkeling (deeltijd),https://minoren-han.nl/en/62-creativiteitsontwikkeling-deeltijd
33,Creativiteitsontwikkeling (voltijd),https://minoren-han.nl/en/60-creativiteitsontwikkeling-voltijd
34,Creativity and Art at Work,https://minoren-han.nl/en/63-creativity-and-art-at-work
35,Criminologie en Strafrecht,https://minoren-han.nl/en/189-criminologie-en-strafrecht
36,Crisismanagement in de zorg,https://minoren-han.nl/en/543-crisismanagement-in-de-zorg
37,Dans! Living-as-Art,https://minoren-han.nl/en/577-dans-living-as-art
38,Data Driven Decision Making in Business,https://minoren-han.nl/en/523-data-driven-decision-making-in-business
39,De betekenisvolle leraar (deeltijd),https://minoren-han.nl/en/258-de-betekenisvolle-leraar-deeltijd
40,"De leraar in het MBO, een veelzijdige professional
                          (deeltijd)",https://minoren-han.nl/en/502-de-leraar-in-het-mbo-een-veelzijdige-professional-deeltijd
41,De oncologische cliënt (deeltijd),https://minoren-han.nl/en/640-de-oncologische-client-deeltijd
42,De oncologische cliënt (voltijd),https://minoren-han.nl/en/262-de-oncologische-client-voltijd
43,DevOps (voltijd),https://minoren-han.nl/en/479-devops-voltijd
44,Digital Business & Innovation,https://minoren-han.nl/en/389-digital-business-innovation
45,Digital Marketing,https://minoren-han.nl/en/328-digital-marketing
46,"Digital Media Productions - jouw droomproject
                          (voltijd)",https://minoren-han.nl/en/611-digital-media-productions-jouw-droomproject-voltijd
47,Digital Transformation en Innovation (deeltijd),https://minoren-han.nl/en/601-digital-transformation-en-innovation-deeltijd
48,Digital Transformation en Innovation (voltijd),https://minoren-han.nl/en/602-digital-transformation-en-innovation-voltijd
49,Docent worden in het VO of MBO,https://minoren-han.nl/en/467-docent-worden-in-het-vo-of-mbo
50,Drama en theater in het onderwijs (voltijd),https://minoren-han.nl/en/261-drama-en-theater-in-het-onderwijs-voltijd
51,Drug discovery,https://minoren-han.nl/en/516-drug-discovery
52,Dutch Architecture,https://minoren-han.nl/en/308-dutch-architecture
53,"Dutch Architecture meets Dutch Landscape
                          Architecture",https://minoren-han.nl/en/442-dutch-architecture-meets-dutch-landscape-architecture
54,Duurzaamheidsverslaggeving (CSRD),https://minoren-han.nl/en/659-duurzaamheidsverslaggeving-csrd
55,Duurzame leefomgeving: een wereld om te ontdekken,https://minoren-han.nl/en/610-duurzame-leefomgeving-een-wereld-om-te-ontdekken
56,Education in International Perspective,https://minoren-han.nl/en/122-education-in-international-perspective
57,Educational Needs,https://minoren-han.nl/en/489-educational-needs
58,"Effectief leiderschap: Human Resource Management voor
                          leidinggevenden",https://minoren-han.nl/en/604-effectief-leiderschap-human-resource-management-voor-leidinggevenden
59,"Embedded Vision Design and Machine Learning
                          (deeltijd)",https://minoren-han.nl/en/608-embedded-vision-design-and-machine-learning-deeltijd
60,"Embedded Vision Design and Machine Learning
                          (full-time)",https://minoren-han.nl/en/609-embedded-vision-design-and-machine-learning-full-time
61,Energy Innovations: duurzaam transformeren,https://minoren-han.nl/en/651-energy-innovations-duurzaam-transformeren
62,Evenementenmanagement,https://minoren-han.nl/en/150-evenementenmanagement
63,"Financieel (MKB-)adviseur van de toekomst i.c.m.
                          applied Business Analytics & Innovation",https://minoren-han.nl/en/422-financieel-mkb-adviseur-van-de-toekomst-i-c-m-applied-business-analytics-innovation
64,"Financieel (MKB-)adviseur van de toekomst i.c.m. in
                          gesprek met je MKB-klant",https://minoren-han.nl/en/423-financieel-mkb-adviseur-van-de-toekomst-i-c-m-in-gesprek-met-je-mkb-klant
65,Financieel advies particulieren,https://minoren-han.nl/en/181-financieel-advies-particulieren
66,"Financieel management voor niet-financiële
                          professionals",https://minoren-han.nl/en/182-financieel-management-voor-niet-financiele-professionals
